iteration,value
0,126.28300431146442
1,126.28299559463031
2,126.28299343105826
3,126.28299125301558
4,126.28298345607358
5,126.28297032078527
6,126.28296595302348
7,126.28296120392186
8,126.28294546555566
9,126.28293814522637
10,126.28293033938081
11,126.28292375013118
12,126.28291673653057
13,126.28290406434195
14,126.28289340061637
15,126.28289072545904
16,126.28287921878365
17,126.28287296223331
18,126.28286445008399
19,126.28285259387592
20,126.2828466662061
21,126.2828407766311
22,126.28283141179368
23,126.28282872771094
24,126.28281931781555
25,126.28281377099901
26,126.28280608808207
27,126.28279329254323
28,126.28278330751482
29,126.28277248990923
30,126.28276681958094
31,126.28275938649698
32,126.28274978838775
33,126.28274378446378
34,126.2827392835498
35,126.2827293246036
36,126.28271691789787
37,126.2827069709193
38,126.2826947273287
39,126.28268844978939
40,126.28267844850458
41,126.28267405469083
42,126.28266651990533
43,126.28265826860878
44,126.28265150255417
45,126.2826428971851
46,126.28263127791543
47,126.28262505125113
48,126.28261918102706
49,126.28260822211888
50,126.28259313457254
51,126.28258552486871
52,126.28258107115808
53,126.28257208523968
54,126.28255700034855
55,126.28255429530516
56,126.28254553068585
57,126.28253145642185
58,126.28252823160946
59,126.28252305290559
60,126.28251146296842
61,126.28250850230337
62,126.28250364378553
63,126.28249682536858
64,126.28248614373145
65,126.28248150695117
66,126.28247342062434
67,126.2824656952293
68,126.28246078372425
69,126.28245722714591
70,126.28245184530826
71,126.28244569437095
72,126.28244263469254
73,126.2824332071036
74,126.28241983660155
75,126.28240941369239
76,126.28240233102454
77,126.28239647247469
78,126.2823922494356
79,126.28238377781608
80,126.28237097980522
81,126.28235316530609
82,126.28235097163022
83,126.28234368189914
84,126.28233268646406
85,126.28232423928304
86,126.28231305051987
87,126.28230749616743
88,126.2822956216585
89,126.28229049342517
90,126.28228030112929
91,126.28227101479374
92,126.28226398396879
93,126.28225634019469
94,126.28224067900346
95,126.28223792174052
96,126.28223311642017
97,126.28222501952449
98,126.28221688838204
99,126.28220845204422
100,126.28220120570617
101,126.28219745646516
102,126.28219366912637
103,126.28218509161402
104,126.28218072477947
105,126.28217110166892
106,126.28216538729792
107,126.28215996775917
108,126.28215462905303
109,126.28215023319082
110,126.28214441953648
111,126.28214034754264
112,126.28212689957184
113,126.28212251693051
114,126.28211093151302
115,126.28209315890606
116,126.28208884410557
117,126.28208200044676
118,126.28206880576923
119,126.28205257581217
120,126.28204432435211
121,126.28203881738551
122,126.28203618996167
123,126.28201812856196
124,126.28200164653413
125,126.28199341696035
126,126.28198939253896
127,126.28198202220372
128,126.28197629602597
129,126.28196924702196
130,126.28196124224266
131,126.28195203242888
132,126.28194276378542
133,126.2819388644863
134,126.28193342026249
135,126.28192722607176
136,126.28191341210692
137,126.28190443424873
138,126.28189839664125
139,126.28189012640992
140,126.28188293884406
141,126.28187148282701
142,126.28185475436915
143,126.28184877285901
144,126.28184629611584
145,126.28184053212813
146,126.28183118138476
147,126.28182718567459
148,126.28181847246425
149,126.28181230489271
150,126.28180129635184
151,126.28179413697919
152,126.28178443411736
153,126.28178060122899
154,126.28177372010356
155,126.28176819909817
156,126.28175899233051
157,126.28175182733315
158,126.2817441615757
159,126.28173735206676
160,126.28173208581245
161,126.28172781626064
162,126.28171891458422
163,126.28171690612437
164,126.28169793118468
165,126.28169173584509
166,126.28168773011956
167,126.2816826251881
168,126.28167605263089
169,126.2816697133678
170,126.2816570598444
171,126.28165260283984
172,126.28164626803924
173,126.28164136255506
174,126.2816351770926
175,126.28161759477956
176,126.28160824651529
177,126.28159774765923
178,126.28159148095999
179,126.2815857936298
180,126.28156787704675
181,126.28155466150065
182,126.28154705157682
183,126.28154056696505
184,126.28153474809842
185,126.2815314904035
186,126.28152833574165
187,126.28151959848807
188,126.28150293815668
189,126.28149383050302
190,126.28149028496965
191,126.28148440510196
192,126.28147989673094
193,126.28147415019097
194,126.28147092297462
195,126.28146808213488
196,126.28145922680127
197,126.28145517428871
198,126.28144592964193
199,126.28143483618089
200,126.28142945436834
201,126.28142322474945
202,126.28141026270222
203,126.28140507419172
204,126.28139581507098
205,126.28138515020291
206,126.28138097323564
207,126.28137605532058
208,126.28137080749663
209,126.28136256027264
210,126.28135847538131
211,126.2813558455209
212,126.28134769790884
213,126.28133731321631
214,126.28132551831868
215,126.28132019112567
216,126.28130798921472
217,126.28129925828138
218,126.28128826547388
219,126.28128394650373
